Popularity,artist_names,track_name,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,Drake,In My Feelings,['hip hop'],0.735,0.482,8,-9.445,1,0.139,0.00623,0.0144,0.448,0.315,181.995,217933
1,Drake,In My Feelings,['hip hop'],0.835,0.626,1,-5.833,1,0.125,0.0589,0.00006,0.396,0.35,91.03,217925
1,Shawn Mendes,Senorita,['pop'],0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,190960
1,Drake,Nonstop,['hip hop'],0.909,0.405,6,-8.133,0,0.14,0.0306,0.00698,0.105,0.455,154.984,238613
1,Shawn Mendes,Senorita,['pop'],0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800
1,DaBaby,ROCKSTAR feat Roddy Ricch,['pop'],0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733
1,Taylor Swift,cardigan,['pop'],0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560
1,Olivia Rodrigo,good 4 u,['pop'],0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,178147
1,Maneskin,Beggin,['pop'],0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,211560
1,Kate Bush,Running Up That Hill A Deal With God 2018 Remaster,['pop'],0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,298933
1,Bizarrap,Quevedo Bzrp Music Sessions Vol 52,['hip hop'],0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,198938
2,Drake,Dont Matter To Me with Michael Jackson,['hip hop'],0.825,0.317,10,-12.39,1,0.0583,0.497,0.0128,0.11,0.136,103.001,245787
2,Ariana Grande,God is a woman,['pop'],0.604,0.673,1,-5.979,1,0.0545,0.0268,0.0000332,0.187,0.287,144.971,197573
2,Cardi B,I Like It,['pop'],0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390
2,6ix9ine,FEFE,['rap'],0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,179405
2,Ed Sheeran,I Dont Care with Justin Bieber,['pop'],0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947
2,Post Malone,Goodbyes feat Young Thug,['rap'],0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,174960
2,Ed Sheeran,I Dont Care with Justin Bieber,['pop'],0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,219947
2,Anuel AA,China,['latin'],0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714
2,Jawsh 685,Savage Love Laxed Siren Beat,['pop'],0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,171375
2,DaBaby,ROCKSTAR feat Roddy Ricch,['pop'],0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733
2,Maneskin,Beggin,['pop'],0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,211560
2,Olivia Rodrigo,good 4 u,['pop'],0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,178147
2,The Kid LAROI,STAY with Justin Bieber,['hip hop'],0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,141806
2,Harry Styles,As It Was,['pop'],0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303
3,XXXTENTACION,SAD,['rap'],0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606
3,Maroon 5,Girls Like You feat Cardi B Cardi B Version,['pop'],0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,235545
3,Billie Eilish,bad guy,['hip hop'],0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088
3,Ed Sheeran,I Dont Care with Justin Bieber,['pop'],0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947
3,Ed Sheeran,Beautiful People feat Khalid,['pop'],0.64,0.647,5,-8.114,0,0.186,0.124,0,0.0801,0.546,92.979,197867
3,The Weeknd,Blinding Lights,['pop'],0.514,0.73,1,-5.934,1,0.0598,0.00146,0.0000954,0.0897,0.334,171.005,200040
3,Jawsh 685,Savage Love Laxed Siren Beat,['pop'],0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,171375
3,Rauw Alejandro,Todo De Ti,['trap latino'],0.78,0.719,3,-3.613,0,0.0506,0.302,0.000196,0.0931,0.336,127.962,199604
3,Ed Sheeran,Bad Habits,['pop'],0.808,0.897,11,-3.712,0,0.0348,0.0469,0.0000314,0.364,0.591,126.026,231041
3,The Kid LAROI,STAY with Justin Bieber,['hip hop'],0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,141806
3,Olivia Rodrigo,good 4 u,['pop'],0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,178147
3,Joji,Glimpse of Us,['pop'],0.44,0.317,8,-9.258,1,0.0531,0.891,0.00000478,0.141,0.268,169.914,233456
3,Bizarrap,Quevedo Bzrp Music Sessions Vol 52,['hip hop'],0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,198938
3,Kate Bush,Running Up That Hill A Deal With God 2018 Remaster,['pop'],0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,298933
