artist_name,artist_genres
Maneskin,['pop']
Olivia Rodrigo,['pop']
The Kid LAROI,['hip hop']
Ed Sheeran,['pop']
BTS,['k pop']
Lil Nas X,['pop']
Rauw Alejandro,['latin']
Bad Bunny,['latin']
BTS,['k pop']
Doja Cat,['rap']
Maneskin,['pop']
J Balvin,['latin']
Dua Lipa,['hip hop']
Justin Bieber,['pop']
Olivia Rodrigo,['pop']
Nio Garcia,['latin']
Olivia Rodrigo,['pop']
Post Malone,['rap']
Billie Eilish,['hip hop']
The Weeknd,['pop']
Olivia Rodrigo,['pop']
Olivia Rodrigo,['pop']
Mora,['pop']
Bruno Mars,['pop']
Masked Wolf,['hip hop']
Olivia Rodrigo,['pop']
Riton,['pop']
The Weeknd,['pop']
Doja Cat,['rap']
BTS,['k pop']
Bizarrap,['hip hop']
Sebastian Yatra,['latin']
Doja Cat,['rap']
Polo G,['rap']
Olivia Rodrigo,['pop']
Bad Bunny,['latin']
Harry Styles,['pop']
Bella Poarch,['pop']
J Balvin,['latin']
Wisin,['reggaeton']
Glass Animals,['pop']
Tiesto,['pop']
Olivia Rodrigo,['pop']
Trinidad Cardona,[]
Rauw Alejandro,['latin']
24kGoldn,['pop']
"TINI, Maria Becerra",['latin']
Maneskin,['pop']
Megan Thee Stallion,['pop']
Majestic,['pop']
ATB,"['german dance', 'german techno', 'german trance', 'trance']"
Giveon,['pop']
Galantis,['pop']
Maroon 5,['pop']
The Weeknd,['pop']
Marshmello,['pop']
OneRepublic,['pop']
Surf Curse,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']"
Dua Lipa,['hip hop']
Marc Segui,['pop']
Los Legendarios,['reggaeton']
Lewis Capaldi,['pop']
Drake,['hip hop']
Bad Bunny,['latin']
KAROL G,['latin']
Joao Gomes,['arrocha']
Kali Uchis,['hip hop']
Travis Scott,['hip hop']
Doja Cat,['rap']
Gera MX,['hip hop']
The Neighbourhood,['pop']
Mora,['pop']
Joel Corry,['pop']
Joel Corry,['pop']
The Kid LAROI,['hip hop']
Duncan Laurence,['pop']
Tones And I,['pop']
WILLOW,['pop']
Justin Wellington,['pop']
Natti Natasha,['latin']
Sech,['classical']
Olivia Rodrigo,['pop']
Vegedream,['hip hop']
Post Malone,['rap']
Madison Beer,['pop']
Tyler The Creator,['hip hop']
Bad Bunny,['latin']
Justin Bieber,['pop']
Bruno Mars,['pop']
Cardi B,['rap']
Ariana Grande,['pop']
SAINt JHN,['rap']
Lewis Capaldi,['pop']
MYA,['punk']
Dua Lipa,['hip hop']
Justin Quiles,['reggaeton']
Internet Money,['rap']
Imagine Dragons,['rock']
Ed Sheeran,['pop']
Calvin Harris,['pop']
Billie Eilish,['hip hop']
Post Malone,['rap']
Doja Cat,['rap']
Mari Fernandez,['latin']
Olivia Rodrigo,['pop']
Ed Sheeran,['pop']
Tate McRae,['pop']
DaBaby,['pop']
Maluma,"['musica mexicana', 'norteno', 'nueva musica mexicana', 'sierreno']"
Saweetie,['pop']
Billie Eilish,['hip hop']
Tom Grennan,['pop']
Dua Lipa,['hip hop']
BANDIDO,['latin']
Myke Towers,['latin']
Shawn Mendes,['pop']
J Balvin,['latin']
AURORA,['sleep']
Trippie Redd,['hip hop']
BTS,['k pop']
DaBaby,['pop']
Pink,['pop']
Sech,['classical']
Tom Odell,['pop']
Maroon 5,['pop']
Conan Gray,['pop']
The Neighbourhood,['pop']
Matheus Fernandes,['pop']
MEDUZA,['pop']
Tiago PZK,['hip hop']
Vance Joy,['pop']
Queen,['pop']
Lil Tjay,['rap']
Roddy Ricch,['rap']
Shouse,['pop']
Maluma,"['musica mexicana', 'norteno', 'nueva musica mexicana', 'sierreno']"
Ofenbach,['pop']
Tion Wayne,['rap']
Nirvana,['alternative rock']
Avicii,['pop']
Hozier,['pop']
Lady Gaga,['pop']
Sech,['classical']
Billie Eilish,['hip hop']
Pashanim,['hip hop']
Mc Davi,"['funk carioca', 'funk ostentacao', 'funk paulista']"
Travis Scott,['hip hop']
Gusttavo Lima,['arrocha']
MC Zaquin,"['funk bh', 'funk carioca', 'funk mtg']"
dhruv,['pop']
Cochise,"['plugg', 'pluggnb']"
Selena Gomez,['pop']
Coldplay,['pop']
Juice WRLD,['rap']
Avicii,['pop']
Cardi B,['pop']
James Arthur,['pop']
Becky G,['latin']
Imagine Dragons,['rock']
Ariana Grande,['pop']
OneRepublic,['pop']
Fleetwood Mac,['rock']
Jamie Miller,['pop']
Bas,"['permanent wave', 'punk']"
Olivia Rodrigo,['pop']
Imagine Dragons,['rock']
Dave,['pop']
Pop Smoke,['rap']
Nio Garcia,['latin']
The Police,['rock']
The Killers,['rock']
Harry Styles,['pop']
"Powfu, beabadoobee",['rap']
Joao Gomes,['arrocha']
SZA,['pop']
BLANCO,['rap']
Pop Smoke,['rap']
Israel and Rodolffo,['pop']
TWICE,['pop']
Queen,['pop']
Sarah Cothran,['gen z singer-songwriter']
Polo G,['rap']
Luan Santana,['pop']
BIA,['pop']
John Legend,['pop']
DaBaby,['pop']
Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']"
Drake,['hip hop']
Internet Money,['rap']
Regard,['pop']
Topic,['pop']
Ariana Grande,['pop']
Farruko,['latin']
Alex Rose,['latin']
Dj Guuga,['arrocha']
Maluma,"['musica mexicana', 'norteno', 'nueva musica mexicana', 'sierreno']"
Anne-Marie,['pop']
Rauw Alejandro,['latin']
The Chainsmokers,['pop']
Oasis,['pop']
