artist_name,artist_genres
Kate Bush,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
Harry Styles,['pop']
Bizarrap,"['argentine hip hop', 'pop venezolano', 'trap argentino']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Joji,['viral pop']
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Charlie Puth,"['dance pop', 'pop', 'viral pop']"
Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']"
KAROL G,"['latin', 'reggaeton', 'reggaeton colombiano']"
Lizzo,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
Shakira,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']"
OneRepublic,"['dance pop', 'piano rock', 'pop', 'pop rock']"
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
The Kid LAROI,['australian hip hop']
Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
Camila Cabello,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
Elton John,"['glam rock', 'mellow gold', 'piano rock']"
Harry Styles,['pop']
Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'rap']"
Post Malone,"['dfw rap', 'melodic rap', 'rap']"
Doja Cat,"['dfw rap', 'melodic rap', 'rap']"
Beyonce,"['dance pop', 'pop', 'r&b']"
Justin Bieber,"['canadian pop', 'pop']"
Elley Duhe,"['alt z', 'pop']"
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Stephen Sanchez,['gen z singer-songwriter']
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Nicky Youre,[]
Cris Mj,"['mambo chileno', 'urbano chileno']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Becky G,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']"
Imagine Dragons,"['modern rock', 'rock']"
Ed Sheeran,"['pop', 'uk pop']"
Lost Frequencies,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']"
Doja Cat,"['dfw rap', 'melodic rap', 'rap']"
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Lil Nas X,"['lgbtq+ hip hop', 'pop']"
Rauw Alejandro,"['puerto rican pop', 'trap latino']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Future,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Ruth B,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']"
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']"
Harry Styles,['pop']
Tom Odell,"['chill pop', 'pop']"
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Polima Westcoast,"['trap chileno', 'trap latino', 'trap triste', 'urbano chileno']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Farruko,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
