artist_name,artist_genres
Kate Bush,['pop']
Harry Styles,['pop']
Bizarrap,['hip hop']
Bad Bunny,['latin']
Joji,['pop']
Bad Bunny,['latin']
Bad Bunny,['latin']
Bad Bunny,['latin']
Bad Bunny,['latin']
Charlie Puth,['pop']
Glass Animals,['pop']
KAROL G,['latin']
Lizzo,['pop']
Shakira,['latin']
OneRepublic,['pop']
Drake,['hip hop']
Bad Bunny,['latin']
Bad Bunny,['latin']
The Kid LAROI,['hip hop']
Metallica,['metal']
Camila Cabello,['pop']
Elton John,['glam rock']
Harry Styles,['pop']
Jack Harlow,['hip hop']
Post Malone,['rap']
Doja Cat,['rap']
Beyonce,['pop']
Justin Bieber,['pop']
Elley Duhe,['pop']
Calvin Harris,['pop']
Stephen Sanchez,['pop']
Bad Bunny,['latin']
Nicky Youre,['pop']
Cris Mj,['urbano chileno']
Bad Bunny,['latin']
Becky G,['latin']
Imagine Dragons,['rock']
Ed Sheeran,['pop']
Lost Frequencies,['pop']
Doja Cat,['rap']
The Weeknd,['pop']
Lil Nas X,['pop']
Rauw Alejandro,['trap latino']
Bad Bunny,['latin']
Future,['hip hop']
Ruth B,['pop']
The Neighbourhood,['pop']
Harry Styles,['pop']
Tom Odell,['pop']
Drake,['hip hop']
Polima Westcoast,['trap latino']
Bad Bunny,['latin']
Farruko,['latin']
Bizarrap,['hip hop']
Ed Sheeran,['pop']
Chris Jedi,['latin']
Feid,['reggaeton']
Steve Lacy,['afrofuturism']
Olivia Rodrigo,['pop']
The Weeknd,['pop']
Bad Bunny,['latin']
BTS,['k pop']
Olivia Rodrigo,['pop']
James Hype,['pop']
Adele,['pop']
Anitta,['pop']
Dua Lipa,['pop']
Bad Bunny,['latin']
Lil Nas X,['pop']
The Weeknd,['pop']
Olivia Rodrigo,['pop']
Taylor Swift,['pop']
Billie Eilish,['hip hop']
Arctic Monkeys,['rock']
Olivia Rodrigo,['pop']
Tainy,['latin']
Bad Bunny,['latin']
Bad Bunny,['latin']
Bad Bunny,['latin']
j hope,['k-pop']
Imanbek,['pop']
The Weeknd,['pop']
Imagine Dragons,['rock']
Bad Bunny,['latin']
Post Malone,['rap']
Harry Styles,['pop']
Yung Gravy,['hip hop']
NAYEON,['k pop']
Manuel Turizo,['latin']
Doja Cat,['pop']
GAYLE,['pop']
WILLOW,['pop']
Polima Westcoast,['trap latino']
Lasso,['indie rock']
Bad Bunny,['latin']
Coldplay,['pop']
Benson Boone,['pop']
Paloma Faith,['pop']
Charlie Puth,['pop']
Tiesto,['pop']
Guns N Roses,['rock']
Harry Styles,['pop']
Jax Jones,['pop']
The Walters,['chicago indie']
Eminem,['hip hop']
Panic At The Disco,['rock']
Musical Youth,['reggae']
The Weeknd,['pop']
Imagine Dragons,['rock']
Billie Eilish,['pop']
The Police,['rock']
Danny Ocean,['latin']
Calvin Harris,['pop']
Coldplay,['pop']
Bad Bunny,['latin']
Bad Bunny,['latin']
Mr Kitty,['weirdcore']
One Direction,['pop']
Dove Cameron,['pop']
DJ Robin,['pop']
J Cole,['hip hop']
The Weeknd,['pop']
Tears For Fears,['pop']
Lewis Capaldi,['pop']
BTS,['k pop']
Mora,['latin']
Drake,['hip hop']
Megan Thee Stallion,['pop']
Queen,['pop']
Maroon 5,['pop']
Doja Cat,['rap']
Burna Boy,['hip hop']
The Weeknd,['pop']
Dua Lipa,['hip hop']
Lady Gaga,['pop']
Zion and Lennox,['latin']
Jaymes Young,['pop']
BTS,['k pop']
Shae Gill,['pop']
Justin Bieber,['pop']
Taylor Swift,['pop']
Post Malone,['rap']
Bad Bunny,['latin']
L7NNON,['pop']
Marshmello,['pop']
David Guetta,['pop']
Ryan Castro,['trap colombiano']
Lil Nas X,['pop']
Nirvana,['alternative rock']
Vance Joy,['pop']
Maneskin,['pop']
Maneskin,['pop']
OneRepublic,['pop']
The Killers,['alternative rock']
Troye Sivan,['pop']
Harry Styles,['pop']
TINI,['latin']
Eminem,['hip hop']
Cardi B,['pop']
Post Malone,['rap']
Bad Bunny,['latin']
Sia,['pop']
Daddy Yankee,['latin']
Bad Bunny,['latin']
The Weeknd,['pop']
MC Tairon,['funk']
J Balvin,['latin']
Ed Sheeran,['pop']
Joji,['pop']
Bruno Mars,['pop']
ACRAZE,['electronic']
Tate McRae,['pop']
Steve Lacy,['afrofuturism']
Conan Gray,['pop']
Coolio,['hip hop']
LF SYSTEM,['electronic']
Eminem,['hip hop']
Brent Faiyaz,['pop']
The Neighbourhood,['pop']
Ed Sheeran,['pop']
Olivia Rodrigo,['pop']
Drake,['hip hop']
Rauw Alejandro,['latin']
Cigarettes After Sex,['pop']
Arctic Monkeys,['rock']
Rosa Linn,['pop']
Bizarrap,['hip hop']
Brent Faiyaz,['pop']
Arctic Monkeys,['rock']
Tiago PZK,['trap argentino']
Rema,['pop']
Avicii,['pop']
Alejo,['reggaeton']
Shawn Mendes,['pop']
The Kid LAROI,['hip hop']
Ze Felipe,['arrocha']
The Goo Goo Dolls,['pop']
Fivio Foreign,['hip hop']
Sleepy Hallow,['rap']
Avicii,['pop']
