Artists,weeks_on_chart,streams,artist_genres
Kate Bush,7,46609146,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
Harry Styles,15,44759969,['pop']
Harry Styles,15,44759969,['pop']
Harry Styles,15,44759969,['pop']
Harry Styles,15,44759969,['pop']
Harry Styles,15,44759969,['pop']
Harry Styles,15,44759969,['pop']
Bizarrap Quevedo,1,38443942,"['argentine hip hop', 'pop venezolano', 'trap argentino']"
Bad Bunny Chencho Corleone,10,38042392,"['latin', 'reggaeton', 'trap latino']"
Joji,5,34930156,['viral pop']
Joji,5,34930156,['viral pop']
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,32423071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny Bomba Estereo,10,28065267,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,26558071,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,23671403,"['latin', 'reggaeton', 'trap latino']"
Charlie Puth BTS Jung Kook,3,22173100,"['dance pop', 'pop', 'viral pop']"
Glass Animals,81,21757972,"['gauze pop', 'indietronica', 'shiver pop']"
KAROL G,12,20212565,"['latin', 'reggaeton', 'reggaeton colombiano']"
Lizzo,11,18949477,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
Shakira Rauw Alejandro,12,17913759,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']"
OneRepublic,6,17494174,"['dance pop', 'piano rock', 'pop', 'pop rock']"
OneRepublic,6,17494174,"['dance pop', 'piano rock', 'pop', 'pop rock']"
Drake 21 Savage,4,17140949,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Bad Bunny Jhay Cortez,10,17125522,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny Jhay Cortez,10,17125522,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny Rauw Alejandro,10,16783874,"['latin', 'reggaeton', 'trap latino']"
The Kid LAROI Justin Bieber,53,16690829,['australian hip hop']
Metallica,2,16064478,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
Camila Cabello Ed Sheeran,19,16016439,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
Elton John Dua Lipa PNAU,48,15753242,"['glam rock', 'mellow gold', 'piano rock']"
Harry Styles,8,15574572,['pop']
Harry Styles,8,15574572,['pop']
Harry Styles,8,15574572,['pop']
Harry Styles,8,15574572,['pop']
Harry Styles,8,15574572,['pop']
Harry Styles,8,15574572,['pop']
Jack Harlow,14,14895959,"['deep underground hip hop', 'kentucky hip hop', 'rap']"
Post Malone Doja Cat,6,14568876,"['dfw rap', 'melodic rap', 'rap']"
Doja Cat,6,13499216,"['dfw rap', 'melodic rap', 'rap']"
Doja Cat,6,13499216,"['dfw rap', 'melodic rap', 'rap']"
Doja Cat,6,13499216,"['dfw rap', 'melodic rap', 'rap']"
Beyonce,4,13245304,"['dance pop', 'pop', 'r&b']"
Justin Bieber,43,13106224,"['canadian pop', 'pop']"
Elley Duhe,29,13025567,"['alt z', 'pop']"
Calvin Harris Dua Lipa,79,12980634,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Stephen Sanchez,10,12634834,['gen z singer-songwriter']
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,12309949,"['latin', 'reggaeton', 'trap latino']"
Nicky Youre dazy,10,12301842,[]
Cris Mj,20,12071466,"['mambo chileno', 'urbano chileno']"
Bad Bunny Tony Dize,10,12062263,"['latin', 'reggaeton', 'trap latino']"
Becky G KAROL G,22,11891516,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']"
Imagine Dragons JID Arcane League of Legends,37,11796456,"['modern rock', 'rock']"
Ed Sheeran,44,11699434,"['pop', 'uk pop']"
Ed Sheeran,44,11699434,"['pop', 'uk pop']"
Ed Sheeran,44,11699434,"['pop', 'uk pop']"
Ed Sheeran,44,11699434,"['pop', 'uk pop']"
Lost Frequencies Calum Scott,45,11442395,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']"
Doja Cat,53,11282964,"['dfw rap', 'melodic rap', 'rap']"
Doja Cat,53,11282964,"['dfw rap', 'melodic rap', 'rap']"
Doja Cat,53,11282964,"['dfw rap', 'melodic rap', 'rap']"
The Weeknd,137,11236829,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,137,11236829,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,137,11236829,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,137,11236829,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,137,11236829,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Lil Nas X Jack Harlow,51,11234594,"['lgbtq+ hip hop', 'pop']"
Rauw Alejandro Chencho Corleone,31,11181060,"['puerto rican pop', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,10962117,"['latin', 'reggaeton', 'trap latino']"
Future Drake Tems,11,10767760,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Ruth B,48,10766728,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']"
The Neighbourhood,98,10570057,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']"
The Neighbourhood,98,10570057,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']"
Harry Styles,139,10476053,['pop']
Harry Styles,139,10476053,['pop']
Harry Styles,139,10476053,['pop']
Harry Styles,139,10476053,['pop']
Harry Styles,139,10476053,['pop']
Harry Styles,139,10476053,['pop']
Tom Odell,66,10250644,"['chill pop', 'pop']"
Drake,4,10210464,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Drake,4,10210464,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
PolimA Westcoast Pailita Feid Paloma Mami De La Ghetto,4,10184548,"['trap chileno', 'trap latino', 'trap triste', 'urbano chileno']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,9909100,"['latin', 'reggaeton', 'trap latino']"
Farruko,53,9862960,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
Bizarrap Villano Antillano,5,9730344,"['argentine hip hop', 'pop venezolano', 'trap argentino']"
Ed Sheeran,55,9709305,"['pop', 'uk pop']"
Ed Sheeran,55,9709305,"['pop', 'uk pop']"
Ed Sheeran,55,9709305,"['pop', 'uk pop']"
Ed Sheeran,55,9709305,"['pop', 'uk pop']"
Chris Jedi Anuel AA Chencho Corleone Aengo Flow,8,9661420,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
Feid,1,9623337,"['reggaeton', 'trap latino']"
Steve Lacy,1,9518756,['afrofuturism']
Steve Lacy,1,9518756,['afrofuturism']
Olivia Rodrigo,61,9429278,['pop']
Olivia Rodrigo,61,9429278,['pop']
Olivia Rodrigo,61,9429278,['pop']
Olivia Rodrigo,61,9429278,['pop']
Olivia Rodrigo,61,9429278,['pop']
The Weeknd,22,9385410,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,22,9385410,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,22,9385410,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,22,9385410,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,22,9385410,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Bad Bunny Buscabulla,10,9344372,"['latin', 'reggaeton', 'trap latino']"
BTS,5,9105031,"['dance pop', 'pop', 'viral pop']"
BTS,5,9105031,"['dance pop', 'pop', 'viral pop']"
BTS,5,9105031,"['dance pop', 'pop', 'viral pop']"
Olivia Rodrigo,60,9104556,['pop']
Olivia Rodrigo,60,9104556,['pop']
Olivia Rodrigo,60,9104556,['pop']
Olivia Rodrigo,60,9104556,['pop']
Olivia Rodrigo,60,9104556,['pop']
James Hype Miggy Dela Rosa,6,8944766,"['deep groove house', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']"
Adele,39,8863635,"['british soul', 'pop', 'pop soul', 'uk pop']"
Anitta,19,8585175,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']"
Dua Lipa DaBaby,93,8515720,"['dance pop', 'pop', 'uk pop']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8439739,"['latin', 'reggaeton', 'trap latino']"
Lil Nas X,43,8430368,"['lgbtq+ hip hop', 'pop']"
Lil Nas X,43,8430368,"['lgbtq+ hip hop', 'pop']"
The Weeknd,84,8390807,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,84,8390807,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,84,8390807,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,84,8390807,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Weeknd,84,8390807,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Olivia Rodrigo,79,8381927,['pop']
Olivia Rodrigo,79,8381927,['pop']
Olivia Rodrigo,79,8381927,['pop']
Olivia Rodrigo,79,8381927,['pop']
Olivia Rodrigo,79,8381927,['pop']
Taylor Swift,9,8333301,['pop']
Taylor Swift,9,8333301,['pop']
Billie Eilish,50,8330230,['indie hip hop']
Arctic Monkeys,28,8328287,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
Arctic Monkeys,28,8328287,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
Arctic Monkeys,28,8328287,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
Olivia Rodrigo,67,8298197,['pop']
Olivia Rodrigo,67,8298197,['pop']
Olivia Rodrigo,67,8298197,['pop']
Olivia Rodrigo,67,8298197,['pop']
Olivia Rodrigo,67,8298197,['pop']
Tainy Bad Bunny Julieta Venegas,41,8281898,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']"
Bad Bunny,10,8243232,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8243232,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8243232,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8243232,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8243232,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8243232,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8243232,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,10,8243232,"['latin', 'reggaeton', 'trap latino']"
