Artists,artist_genres
Kate Bush,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
Harry Styles,['pop']
Bizarrap Quevedo,"['argentine hip hop', 'pop venezolano', 'trap argentino']"
Bad Bunny Chencho Corleone,"['latin', 'reggaeton', 'trap latino']"
Joji,['viral pop']
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny Bomba Estereo,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Charlie Puth BTS Jung Kook,"['dance pop', 'pop', 'viral pop']"
Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']"
KAROL G,"['latin', 'reggaeton', 'reggaeton colombiano']"
Lizzo,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
Shakira Rauw Alejandro,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']"
OneRepublic,"['dance pop', 'piano rock', 'pop', 'pop rock']"
Drake 21 Savage,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Bad Bunny Jhay Cortez,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny Rauw Alejandro,"['latin', 'reggaeton', 'trap latino']"
The Kid LAROI Justin Bieber,['australian hip hop']
Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
Camila Cabello Ed Sheeran,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
Elton John Dua Lipa PNAU,"['glam rock', 'mellow gold', 'piano rock']"
Harry Styles,['pop']
Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'rap']"
Post Malone Doja Cat,"['dfw rap', 'melodic rap', 'rap']"
Doja Cat,"['dfw rap', 'melodic rap', 'rap']"
Beyonce,"['dance pop', 'pop', 'r&b']"
Justin Bieber,"['canadian pop', 'pop']"
Elley Duhe,"['alt z', 'pop']"
Calvin Harris Dua Lipa,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Stephen Sanchez,['gen z singer-songwriter']
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Nicky Youre dazy,[]
Cris Mj,"['mambo chileno', 'urbano chileno']"
Bad Bunny Tony Dize,"['latin', 'reggaeton', 'trap latino']"
Becky G KAROL G,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']"
Imagine Dragons JID Arcane League of Legends,"['modern rock', 'rock']"
Ed Sheeran,"['pop', 'uk pop']"
Lost Frequencies Calum Scott,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']"
Doja Cat,"['dfw rap', 'melodic rap', 'rap']"
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Lil Nas X Jack Harlow,"['lgbtq+ hip hop', 'pop']"
Rauw Alejandro Chencho Corleone,"['puerto rican pop', 'trap latino']"
Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
Future Drake Tems,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
Ruth B,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']"
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']"
Harry Styles,['pop']
Tom Odell,"['chill pop', 'pop']"
