,Artists,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,Indie Rock_x,R and B_x,afrofuturism_x,afroswing_x,alternative rock_x,arrocha_x,chicago house_x,chicago indie_x,classical_x,country_x,electro house_x,electronic_x,funk_x,glam rock_x,hip hop_x,indie rock_x,japanese chillhop_x,jawaiian_x,k pop_x,latin_x,metal_x,pop_x,punk_x,rap_x,reggae_x,reggaeton_x,rock_x,sad lo-fi_x,sleep_x,trap argentino_x,trap colombiano_x,trap latino_x,tropical house_x,urbano chileno_x,waiata mo tamariki_x,weirdcore_x,Indie Rock_y,R and B_y,afrofuturism_y,afroswing_y,alternative rock_y,arrocha_y,chicago house_y,chicago indie_y,classical_y,country_y,electro house_y,electronic_y,funk_y,glam rock_y,hip hop_y,indie rock_y,japanese chillhop_y,jawaiian_y,k pop_y,latin_y,metal_y,pop_y,punk_y,rap_y,reggae_y,reggaeton_y,rock_y,sad lo-fi_y,sleep_y,trap argentino_y,trap colombiano_y,trap latino_y,tropical house_y,urbano chileno_y,waiata mo tamariki_y,weirdcore_y,Indie Rock,R and B,afrofuturism,afroswing,alternative rock,arrocha,chicago house,chicago indie,classical,country,electro house,electronic,funk,glam rock,hip hop,indie rock,japanese chillhop,jawaiian,k pop,latin,metal,pop,punk,rap,reggae,reggaeton,rock,sad lo-fi,sleep,trap argentino,trap colombiano,trap latino,tropical house,urbano chileno,waiata mo tamariki,weirdcore
0,Drake,In My Feelings,Cash Money,1,1,3,67499798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Shawn Mendes,Senorita,Island Records,1,1,4,64942021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Maneskin,Beggin,RCA Records,1,1,6,52160401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Kate Bush,Running Up That Hill A Deal With God 2018 Remaster,Rhino,1,1,7,46609146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,DaBaby,ROCKSTAR feat Roddy Ricch,Interscope Records,1,1,13,36999793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ed Sheeran,I Dont Care with Justin Bieber,Atlantic Records,1,3,10,38459324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Jawsh 685,Savage Love Laxed Siren Beat,Columbia,2,2,5,34262951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Harry Styles,As It Was,Columbia,1,2,15,44759969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,2,9,46014325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Ariana Grande,God is a woman,Republic Records,2,-1,1,29847494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
