,Artists,streams,artist_genres
0,Kate Bush,46609146,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
1,Harry Styles,44759969,['pop']
7,Bizarrap Quevedo,38443942,"['argentine hip hop', 'pop venezolano', 'trap argentino']"
8,Bad Bunny Chencho Corleone,38042392,"['latin', 'reggaeton', 'trap latino']"
9,Joji,34930156,['viral pop']
11,Bad Bunny,32423071,"['latin', 'reggaeton', 'trap latino']"
25,Bad Bunny Bomba Estereo,28065267,"['latin', 'reggaeton', 'trap latino']"
54,Charlie Puth BTS Jung Kook,22173100,"['dance pop', 'pop', 'viral pop']"
55,Glass Animals,21757972,"['gauze pop', 'indietronica', 'shiver pop']"
56,KAROL G,20212565,"['latin', 'reggaeton', 'reggaeton colombiano']"
57,Lizzo,18949477,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
58,Shakira Rauw Alejandro,17913759,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']"
59,OneRepublic,17494174,"['dance pop', 'piano rock', 'pop', 'pop rock']"
61,Drake 21 Savage,17140949,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
62,Bad Bunny Jhay Cortez,17125522,"['latin', 'reggaeton', 'trap latino']"
64,Bad Bunny Rauw Alejandro,16783874,"['latin', 'reggaeton', 'trap latino']"
65,The Kid LAROI Justin Bieber,16690829,['australian hip hop']
66,Metallica,16064478,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
67,Camila Cabello Ed Sheeran,16016439,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
68,Elton John Dua Lipa PNAU,15753242,"['glam rock', 'mellow gold', 'piano rock']"
75,Jack Harlow,14895959,"['deep underground hip hop', 'kentucky hip hop', 'rap']"
76,Post Malone Doja Cat,14568876,"['dfw rap', 'melodic rap', 'rap']"
77,Doja Cat,13499216,"['dfw rap', 'melodic rap', 'rap']"
80,Beyonce,13245304,"['dance pop', 'pop', 'r&b']"
81,Justin Bieber,13106224,"['canadian pop', 'pop']"
82,Elley Duhe,13025567,"['alt z', 'pop']"
83,Calvin Harris Dua Lipa,12980634,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
84,Stephen Sanchez,12634834,['gen z singer-songwriter']
99,Nicky Youre dazy,12301842,[]
100,Cris Mj,12071466,"['mambo chileno', 'urbano chileno']"
101,Bad Bunny Tony Dize,12062263,"['latin', 'reggaeton', 'trap latino']"
102,Becky G KAROL G,11891516,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']"
103,Imagine Dragons JID Arcane League of Legends,11796456,"['modern rock', 'rock']"
104,Ed Sheeran,11699434,"['pop', 'uk pop']"
108,Lost Frequencies Calum Scott,11442395,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']"
112,The Weeknd,11236829,"['canadian contemporary r&b', 'canadian pop', 'pop']"
117,Lil Nas X Jack Harlow,11234594,"['lgbtq+ hip hop', 'pop']"
118,Rauw Alejandro Chencho Corleone,11181060,"['puerto rican pop', 'trap latino']"
133,Future Drake Tems,10767760,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
134,Ruth B,10766728,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']"
135,The Neighbourhood,10570057,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']"
143,Tom Odell,10250644,"['chill pop', 'pop']"
144,Drake,10210464,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
146,PolimA Westcoast Pailita Feid Paloma Mami De La Ghetto,10184548,"['trap chileno', 'trap latino', 'trap triste', 'urbano chileno']"
161,Farruko,9862960,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
162,Bizarrap Villano Antillano,9730344,"['argentine hip hop', 'pop venezolano', 'trap argentino']"
167,Chris Jedi Anuel AA Chencho Corleone Aengo Flow,9661420,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
