rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week
1,spotify:track:7ytR5pFWmSjzHJIeQkgog4,DaBaby,ROCKSTAR feat Roddy Ricch,Interscope Records,1,1,13,36999793,7/16/2020
2,spotify:track:1xQ6trAsedVPCdbtDAmk0c,Jawsh 685,Savage Love Laxed Siren Beat,Columbia,2,2,5,34262951,7/16/2020
3,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,3,33,30727192,7/16/2020
4,spotify:track:7y7w4tl4MaRC2UMEj1mPtr,Juice WRLD,Come and Go with Marshmello,Interscope Records,4,-1,1,30027587,7/16/2020
5,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,5,5,35,26440765,7/16/2020
6,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,SAINt JHN,Roses Imanbek Remix,HITCO,3,4,31,25447045,7/16/2020
7,spotify:track:6o3QUC5oAE4g6WxRIFcZtb,Juice WRLD,Wishing Well,Interscope Records,7,-1,1,25364600,7/16/2020
8,spotify:track:4h5N4KyWZMtpeH9vhXSXjd,Juice WRLD,Lifes A Mess feat Halsey,Interscope Records,8,138,2,23220482,7/16/2020
9,spotify:track:2fZTS0VboxRpF0FdfY7E5P,Juice WRLD,Conversations,Interscope Records,9,-1,1,21350095,7/16/2020
10,spotify:track:0XkmeG97T4mtYlWRJcrxec,StaySolidRocky,Party Girl Remix,Columbia,10,-1,1,19978914,7/16/2020
11,spotify:track:3H7ihDc1dqLriiWXwsc2po,Topic,Breaking Me,Virgin,9,9,17,19829211,7/16/2020
12,spotify:track:7eJMfftS33KTjuF7lTsMCx,Powfu,death bed coffee for your head,Columbia,4,7,22,19318965,7/16/2020
13,spotify:track:7ju97lgwC2rKQ6wwsf9no9,Lady Gaga,Rain On Me with Ariana Grande,Interscope Records,1,8,8,19254574,7/16/2020
14,spotify:track:66FgjA5ZQJJuypFG1bc8se,Juice WRLD,Hate The Other Side with Marshmello and The Kid Laroi,Interscope Records,14,-1,1,19071066,7/16/2020
15,spotify:track:615vw74T1NebV8pKoutm2J,Juice WRLD,Righteous,Interscope Records,10,119,12,18299374,7/16/2020
16,spotify:track:3vAn0qZzdyuHamcrpkfiX3,BLACKPINK,How You Like That,Interscope Records,4,6,3,18058671,7/16/2020
17,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra NEK,1,11,52,17926552,7/16/2020
18,spotify:track:62aP9fBQKYKxi7PDXwcUAS,Surf Mesa,ily i love you baby feat Emilee,Astralwerks,9,12,16,17292358,7/16/2020
19,spotify:track:466cKvZn1j45IpxDdYZqdA,Drake,Toosie Slide,OVO,2,10,15,17162025,7/16/2020
20,spotify:track:1mohfLaTJtB2RplHLQVM70,Nio Garcia,La Jeepeta Remix,2020 Flow La Movie Inc  Powered by GLAD Empire LLC,19,19,9,16905728,7/16/2020
21,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Dont Start Now,Warner Records,2,14,37,16617178,7/16/2020
22,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Warner Records,7,15,16,16398677,7/16/2020
23,spotify:track:22LAwLoDA5b4AaGSkg6bKW,Lil Mosey,Blueberry Faygo,Interscope Records,8,16,23,15795906,7/16/2020
24,spotify:track:1QoG0Yqz1onMsdbOibZVke,Juice WRLD,Titanic,Interscope Records,24,-1,1,15319731,7/16/2020
25,spotify:track:3MmCFghNjzZMn3HKqbVizn,Juice WRLD,Blood On My Jeans,Interscope Records,25,-1,1,15277814,7/16/2020
26,spotify:track:24IgCW19L8lXKyFZwzFtD3,Black Eyed Peas,MAMACITA,Epic,20,20,13,15276203,7/16/2020
27,spotify:track:0JoWBcL61YWLXM5vW0YTHO,Juice WRLD,Bad Energy,Interscope Records,27,-1,1,14794484,7/16/2020
28,spotify:track:4HBZA5flZLE435QTztThqH,Ariana Grande,Stuck with U with Justin Bieber,"Ariana Grande & Justin Bieber ""Stuck With U"" Charity",2,21,10,14714531,7/16/2020
29,spotify:track:3ZG8N7aWw2meb6UrI5ZmnZ,Sech,RelaciOn,Rich Music,28,28,11,14283687,7/16/2020
30,spotify:track:4w47S36wQGBhGg073q3nt7,ROSALiA,TKN feat Travis Scott,Columbia,15,25,7,14055256,7/16/2020
31,spotify:track:2MbdDtCv5LUVjYy9RuGTgC,Jack Harlow,WHATS POPPIN feat DaBaby Tory Lanez and Lil Wayne Remix,Atlantic Records,25,26,3,13874577,7/16/2020
32,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,24,80,13836082,7/16/2020
33,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,BENEE,Supalonely,Republic Records,12,22,19,13658663,7/16/2020
34,spotify:track:1H7KnK26kc1YyellpbINEn,Pop Smoke,The Woo feat 50 Cent and Roddy Ricch,Victor Victor Worldwide,17,17,2,13507969,7/16/2020
35,spotify:track:7iIzwqG5UxPYwTYUUK4pzU,Juice WRLD,Tell Me U Luv Me with Trippie Redd,Interscope Records,35,-1,4,13433867,7/16/2020
