rank,Artists,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,Kate Bush,Running Up That Hill A Deal With God 2018 Remaster,Rhino,1,1,7,46609146
2,Harry Styles,As It Was,Columbia,1,2,15,44759969
3,Bizarrap Quevedo,Quevedo Bzrp Music Sessions Vol 52,DALE PLAY Records,3,-1,1,38443942
4,Bad Bunny Chencho Corleone,Me Porto Bonito,Rimas Entertainment LLC,2,4,10,38042392
5,Joji,Glimpse of Us,88rising Music Warner Records,1,3,5,34930156
6,Bad Bunny,Titi Me Pregunto,Rimas Entertainment LLC,5,5,10,32423071
7,Bad Bunny Bomba Estereo,Ojitos Lindos,Rimas Entertainment LLC,3,6,10,28065267
8,Bad Bunny,Efecto,Rimas Entertainment LLC,7,8,10,26558071
9,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,2,9,10,23671403
10,Charlie Puth BTS Jung Kook,Left and Right Feat Jung Kook of BTS,Atlantic Records,7,7,3,22173100
11,Glass Animals,Heat Waves,Polydor Records,1,10,81,21757972
12,KAROL G,PROVENZA,UMLE  Latino,6,11,12,20212565
13,Lizzo,About Damn Time,Nice Life Atlantic,9,12,11,18949477
14,Shakira Rauw Alejandro,Te Felicito,Sony Music Latin,13,14,12,17913759
15,OneRepublic,I Aint Worried,Interscope Records,15,20,6,17494174
16,Drake 21 Savage,Jimmy Cooks feat 21 Savage,OVO,7,13,4,17140949
17,Bad Bunny Jhay Cortez,Tarot,Rimas Entertainment LLC,9,16,10,17125522
18,Bad Bunny Rauw Alejandro,Party,Rimas Entertainment LLC,6,15,10,16783874
19,The Kid LAROI Justin Bieber,STAY with Justin Bieber,Columbia,1,17,53,16690829
20,Metallica,Master of Puppets Remastered,Blackened Recordings,20,26,2,16064478
21,Camila Cabello Ed Sheeran,Bam Bam feat Ed Sheeran,Epic,5,18,19,16016439
22,Elton John Dua Lipa PNAU,Cold Heart  PNAU Remix,EMI,4,19,48,15753242
23,Harry Styles,Late Night Talking,Columbia,2,21,8,15574572
24,Jack Harlow,First Class,Generation Now Atlantic,2,24,14,14895959
25,Post Malone Doja Cat,I Like You A Happier Song with Doja Cat,Mercury Records Republic Records,10,25,6,14568876
26,Doja Cat,Vegas From the Original Motion Picture Soundtrack ELVIS,Kemosabe Records RCA Records,26,27,6,13499216
27,Beyonce,BREAK MY SOUL,Parkwood Entertainment Columbia,13,23,4,13245304
28,Justin Bieber,Ghost,RBMG Def Jam,11,29,43,13106224
29,Elley Duhe,MIDDLE OF THE NIGHT,Not Fit For Society RCA Records,11,30,29,13025567
30,Calvin Harris Dua Lipa,One Kiss with Dua Lipa,Sony Music UK,2,28,79,12980634
31,Stephen Sanchez,Until I Found You,Republic Records,30,33,10,12634834
32,Bad Bunny,Despues de la Playa,Rimas Entertainment LLC,7,32,10,12309949
33,Nicky Youre dazy,Sunroof,Thirty Knots Columbia,33,39,10,12301842
34,Cris Mj,Una Noche en Medellín,Nabru Records LLC,9,37,20,12071466
