rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill A Deal With God 2018 Remaster,Rhino,1,1,7,46609146
2,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,2,15,44759969
3,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,Bizarrap Quevedo,Quevedo Bzrp Music Sessions Vol 52,DALE PLAY Records,3,-1,1,38443942
4,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny Chencho Corleone,Me Porto Bonito,Rimas Entertainment LLC,2,4,10,38042392
5,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,88rising Music Warner Records,1,3,5,34930156
6,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Titi Me Pregunto,Rimas Entertainment LLC,5,5,10,32423071
7,spotify:track:3k3NWokhRRkEPhCzPmV8TW,Bad Bunny Bomba Estereo,Ojitos Lindos,Rimas Entertainment LLC,3,6,10,28065267
8,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Rimas Entertainment LLC,7,8,10,26558071
9,spotify:track:6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,2,9,10,23671403
10,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,Charlie Puth BTS Jung Kook,Left and Right Feat Jung Kook of BTS,Atlantic Records,7,7,3,22173100
11,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,10,81,21757972
12,spotify:track:7dSZ6zGTQx66c2GF91xCrb,KAROL G,PROVENZA,UMLE  Latino,6,11,12,20212565
13,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,Nice Life Atlantic,9,12,11,18949477
14,spotify:track:2rurDawMfoKP4uHyb2kJBt,Shakira Rauw Alejandro,Te Felicito,Sony Music Latin,13,14,12,17913759
15,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Aint Worried,Interscope Records,15,20,6,17494174
16,spotify:track:3F5CgOj3wFlRv51JsHbxhe,Drake 21 Savage,Jimmy Cooks feat 21 Savage,OVO,7,13,4,17140949
17,spotify:track:41oY4WCTj5kccfesTVFnvN,Bad Bunny Jhay Cortez,Tarot,Rimas Entertainment LLC,9,16,10,17125522
18,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,Bad Bunny Rauw Alejandro,Party,Rimas Entertainment LLC,6,15,10,16783874
19,spotify:track:5PjdY0CKGZdEuoNab3yDmX,The Kid LAROI Justin Bieber,STAY with Justin Bieber,Columbia,1,17,53,16690829
20,spotify:track:2MuWTIM3b0YEAskbeeFE1i,Metallica,Master of Puppets Remastered,Blackened Recordings,20,26,2,16064478
21,spotify:track:2DB4DdfCFMw1iaR6JaR03a,Camila Cabello Ed Sheeran,Bam Bam feat Ed Sheeran,Epic,5,18,19,16016439
22,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Elton John Dua Lipa PNAU,Cold Heart  PNAU Remix,EMI,4,19,48,15753242
23,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Columbia,2,21,8,15574572
24,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now Atlantic,2,24,14,14895959
25,spotify:track:0O6u0VJ46W86TxN9wgyqDj,Post Malone Doja Cat,I Like You A Happier Song with Doja Cat,Mercury Records Republic Records,10,25,6,14568876
26,spotify:track:0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas From the Original Motion Picture Soundtrack ELVIS,Kemosabe Records RCA Records,26,27,6,13499216
27,spotify:track:2KukL7UlQ8TdvpaA7bY3ZJ,Beyonce,BREAK MY SOUL,Parkwood Entertainment Columbia,13,23,4,13245304
28,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG Def Jam,11,29,43,13106224
29,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhe,MIDDLE OF THE NIGHT,Not Fit For Society RCA Records,11,30,29,13025567
30,spotify:track:7ef4DlsgrMEH11cDZd32M6,Calvin Harris Dua Lipa,One Kiss with Dua Lipa,Sony Music UK,2,28,79,12980634
31,spotify:track:0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,Until I Found You,Republic Records,30,33,10,12634834
